Date,Open,High,Low,Close,Volume
01-Dec-07,"1,479.63","1,523.57","1,435.65","1,468.36","64,821,670,000"
01-Nov-07,"1,545.79","1,545.79","1,406.10","1,481.14","86,246,950,000"
01-Oct-07,"1,527.29","1,576.09","1,489.56","1,549.38","76,022,580,000"
01-Sep-07,"1,473.96","1,538.74","1,439.29","1,526.75","57,809,700,000"
01-Aug-07,"1,455.18","1,503.89","1,370.60","1,473.99","91,381,760,000"
01-Jul-07,"1,504.66","1,555.90","1,454.25","1,455.27","70,337,430,000"
01-Jun-07,"1,530.62","1,540.56","1,484.18","1,503.35","65,322,800,000"
01-May-07,"1,482.37","1,535.56","1,476.70","1,530.62","64,958,050,000"
01-Apr-07,"1,420.83","1,498.02","1,416.37","1,482.37","57,032,470,000"
01-Mar-07,"1,406.80","1,438.89","1,363.98","1,420.86","67,622,250,000"
01-Feb-07,"1,437.90","1,461.57","1,389.42","1,406.82","51,844,990,000"
01-Jan-07,"1,418.03","1,441.61","1,403.97","1,438.24","56,686,200,000"
01-Dec-06,"1,400.63","1,431.81","1,385.93","1,418.30","47,578,780,000"
01-Nov-06,"1,377.76","1,407.89","1,360.98","1,400.63","55,343,930,000"
01-Oct-06,"1,335.82","1,389.45","1,327.10","1,377.94","56,793,620,000"
01-Sep-06,"1,303.80","1,340.28","1,290.93","1,335.85","49,001,440,000"
01-Aug-06,"1,278.53","1,306.74","1,261.30","1,303.82","50,485,620,000"
01-Jul-06,"1,270.06","1,280.42","1,224.54","1,276.66","46,348,220,000"
01-Jun-06,"1,270.05","1,290.68","1,219.29","1,270.20","54,873,260,000"
01-May-06,"1,310.61","1,326.70","1,245.34","1,270.09","54,312,830,000"
01-Apr-06,"1,302.88","1,318.16","1,280.74","1,310.61","43,308,430,000"
01-Mar-06,"1,280.66","1,310.88","1,268.42","1,294.87","50,905,040,000"
01-Feb-06,"1,280.08","1,297.57","1,253.61","1,280.66","42,859,940,000"
01-Jan-06,"1,248.29","1,294.90","1,245.74","1,280.08","49,211,650,000"
01-Dec-05,"1,249.48","1,275.80","1,246.59","1,248.29","41,756,130,000"
01-Nov-05,"1,207.01","1,270.64","1,201.07","1,249.48","45,102,870,000"
01-Oct-05,"1,228.81","1,233.34","1,168.20","1,207.01","49,793,790,000"
01-Sep-05,"1,220.33","1,243.13","1,205.35","1,228.81","44,777,510,000"
01-Aug-05,"1,234.18","1,245.86","1,201.07","1,220.33","42,030,090,000"
01-Jul-05,"1,191.33","1,245.15","1,183.55","1,234.18","37,464,670,000"
01-Jun-05,"1,191.50","1,219.59","1,188.30","1,191.33","40,334,040,000"
01-May-05,"1,156.85","1,199.56","1,146.18","1,191.50","39,321,990,000"
01-Apr-05,"1,180.59","1,191.88","1,136.15","1,156.85","43,424,270,000"
01-Mar-05,"1,203.60","1,229.11","1,163.69","1,180.59","39,014,150,000"
01-Feb-05,"1,181.27","1,212.44","1,180.95","1,203.60","29,297,410,000"
01-Jan-05,"1,211.92","1,217.80","1,163.75","1,181.27","31,498,800,000"
01-Dec-04,"1,173.78","1,217.33","1,173.78","1,211.92","31,102,500,000"
01-Nov-04,"1,130.20","1,188.46","1,127.60","1,173.82","30,460,280,000"
